180.0,810.0
179.0,809.0
177.99,809.4999999999999
176.99,810.75
175.99,811.0
174.99,811.0000000000001
173.98,814.75
172.98,819.75
171.98,824.75
164.96,834.25
163.96,825.0000000000001
162.95,835.75
161.95,843.25
160.95,855.9999999999999
159.94,859.0
158.94,863.75
157.94,868.9999999999999
156.94,874.2500000000001
155.93,880.2500000000001
154.93,887.5
153.93,892.7500000000001
152.92,898.7499999999999
151.92,905.9999999999999
150.92,913.75
149.92,929.0000000000001
148.91,939.2500000000001
147.91,946.5000000000001
146.91,956.75
145.91,967.5
144.9,975.7500000000001
143.9,985.7500000000001
142.9,996.0000000000001
141.89,1008.0
140.89,1035.0
139.89,1048.75
138.89,1061.25
137.88,1076.0
136.88,1089.75
135.88,1108.25
134.87,1124.25
133.87,1142.75
132.87,1160.75
131.87,1201.25
130.86,1223.75
129.86,1245.0
128.86,1267.25
127.86,1290.75
126.85,1312.75
125.85,1330.0
124.85,1343.9999999999998
123.84,1360.5
122.84,1382.0
121.84,1422.75
120.84,1444.0
119.83,1471.0
117.83,1824.0000000000002
116.82,1871.0
115.82,1912.25
114.82,1952.5
113.82,2050.75
112.81,2103.25
111.81,2157.0
110.81,2230.0
109.81,2300.2499999999995
108.8,2391.0
107.8,2495.5
106.8,2611.75
105.79,2688.0
104.79,2676.5
103.79,2647.5
100.78,1700.0
99.78,4919.5
98.77,4892.0
97.77,4873.75
96.77,4863.5
95.77,4853.5
94.76,4852.75
93.76,4845.75
92.76,4831.5
91.75,4825.0
90.75,4829.25
89.75,4823.75
88.75,4824.25
87.74,4823.25
86.74,4827.0
85.74,4826.75
84.74,4842.5
83.73,4841.5
82.73,2597.0
81.73,2639.5
73.7,1998.5000000000002
72.7,1994.5
70.7,2726.4999999999995
69.69,2796.25
68.69,1599.75
66.69,1333.25
65.68,1296.25
62.67,1171.0
61.67,1130.5
60.67,1099.0
59.67,1067.5
58.66,1039.5
57.66,1009.5
56.66,986.9999999999999
55.65,979.5
52.65,945.2500000000001
51.64,925.75
50.64,906.7499999999999
49.64,886.0000000000001
48.64,854.25
46.63,837.5
45.63,809.5
44.62,795.2500000000001
43.62,787.0
42.62,772.25
41.62,761.2499999999999
40.61,750.7499999999999
39.61,742.0
38.61,731.5
37.6,722.75
36.6,711.0
35.6,698.0000000000001
34.6,688.0
33.59,675.0
32.59,661.75
31.59,646.0
30.58,631.5
29.58,619.25
28.58,607.75
27.58,597.25
26.57,694.5
17.55,598.75
16.55,598.25
15.54,597.0
14.54,589.5
13.54,589.75
12.53,585.5
11.53,580.5
10.53,578.75
9.53,576.75
8.52,574.75
7.52,573.75
6.52,571.75
5.52,569.9999999999999
4.51,569.75
3.51,569.0
2.51,569.0
1.5,568.0
0.5,567.5
-0.5,566.75
-1.5,574.25
-2.51,570.25
-3.51,567.75
-4.51,568.0
-5.52,568.5
-6.52,569.25
-7.52,570.0
-8.52,570.75
-9.53,573.5
-10.53,574.5
-11.53,576.0
-12.53,577.5
-13.54,556.0
-14.54,547.75
-15.54,553.25
-16.55,585.75
-17.55,591.5
-21.56,1459.4999999999998
-24.57,2004.25
-30.58,1374.5
-34.6,7886.0
-36.6,8193.75
-38.61,3548.4999999999995
-42.62,1017.7499999999999
-45.63,4562.25
-46.63,4499.75
-48.64,1906.5000000000002
-51.64,772.75
-52.65,767.75
-57.66,3078.5
-58.66,2157.75
-60.67,1608.5
-62.67,3034.25
-63.68,3153.7500000000005
-66.69,634.25
-67.69,629.25
-68.69,624.25
-69.69,608.5
-70.7,608.5
-71.7,601.0
-72.7,595.25
-73.7,586.5
-74.71,582.75
-76.71,563.5
-77.72,566.5
-78.72,561.75
-79.72,556.75
-80.72,553.25
-81.73,534.75
-83.73,558.75
-86.74,529.25
-90.75,554.25
-91.75,517.25
-100.78,165.0
-102.79,525.0
-103.79,484.75000000000006
-111.81,536.25
-112.81,530.25
-113.82,515.0
-114.82,510.25
-116.82,528.5
-117.83,501.75
-118.83,500.75
-119.83,504.5
