theta,dist
-1.1638769440875831/633.0
-1.1813788530212308/628.75
-1.1988807619548785/621.75
-1.2163826708885264/612.25
-1.233884579822175/609.5
-1.2513864887558224/603.75
-1.26888839768947/596.75
-1.2863903066231177/587.75
-1.3038922155567665/583.0
-1.321394124490414/588.5
-1.3388960334240616/566.75
-1.3563979423577093/566.5
-1.3738998512913572/560.75
-1.3914017602250055/556.5
-1.4089036691586532/553.75
-1.426405578092301/529.75
-1.461409395959597/560.75
-1.51391512276054/529.5
-1.5489189406278363/522.25
-1.6014246674287793/538.5
-1.6189265763624279/520.0
-1.811447574632554/459.24999999999994
-1.9514628461017371/538.5
-1.968964755035385/532.25
-1.9864666639690325/515.0
-2.0039685729026813/509.75
-2.021470481836329/536.75
-2.0564742997036243/512.5
-2.073976208637273/502.99999999999994
-2.0914781175709205/507.25
-2.108980026504568/510.25
-2.126481935438216/513.25
-2.1439838443718635/517.5
-2.161485753305512/521.0
-2.1789876622391597/531.25
-2.1964895711728074/534.75
-2.213991480106455/540.0
-2.2314933890401036/545.25
-2.248995297973751/551.25
-2.266497206907399/556.75
-2.2839991158410466/561.5
-2.3015010247746943/574.25
-2.319002933708343/580.0
-2.3365048426419905/586.25
-2.354006751575638/595.5
-2.371508660509286/614.75
-2.3890105694429344/620.25
-2.406512478376582/629.7500000000001
-2.42401438731023/643.25
-2.459018205177525/1060.75
-2.4765201141111737/1048.5
-2.4940220230448213/1019.5000000000001
-2.5290258409121167/999.7499999999999
-2.5465277498457652/988.5
-2.564029658779413/980.5
-2.5815315677130606/975.9999999999999
-2.5990334766467083/967.25
-2.616535385580357/957.2500000000001
-2.6340372945140045/948.75
-2.651539203447652/940.25
-2.6690411123813/933.5
-2.6865430213149475/917.7499999999999
-2.704044930248596/908.9999999999999
-2.7215468391822437/901.75
-2.7390487481158914/895.9999999999999
-2.756550657049539/889.75
-2.7740525659831876/884.5
-2.7915544749168353/876.5
-2.809056383850483/871.2499999999999
